type,checkpoint,prompt,response,time,mem_after,mem_before,consumed,model_parameters
beam_5,xlnet-base-cased,"Is there anything I can eat for a breakfast that doesn't include eggs, yet includes protein, and has roughly 700-1000 calories? ","I s there anything I can eat for a breakfast that doesn ' t include eggs , yet includes protein , and has roughly 700 - 1000 calories ?   I  ( ( a ) ) , but does not include anything that isn ' s a  "" "" , so that it can be easily  dec dec red red , while still still maintaining its ",162.2274523,9279881216,10281947136,1002065920,116750336
beam_5,xlnet-base-cased,What is the relation between the given pairs? Night : Day :: Right : Left,What is the relation between the given pairs ? Night  : Day  : : Right  : Left   I what I am what is it what it is what was it that it was that was the question was what did it she was in what the was she what she is she who is that she she,141.7713714,9081962496,9495412736,413450240,116750336
beam_5,xlnet-base-cased,"Generate a one-sentence description for each of the following people. - Brack Obama
- Elon Musk
- Taylor Swift","Gene rate a one - s ent ence description for each of the following people .  - Brack Obama  - El on Musk  - Taylor Swift   Swift  ( The New York Times News Service )  –  "" A Swift "" is the first thing that you can tell me about the next person in the list of people who I am telling you",149.5296414,9030295552,9307586560,277291008,116750336
beam_5,xlnet-base-cased,"Describe a situation in which the given stereotype can harm you. ""All Asians are smart!""","Describe a situation in which the given stereotype can harm you .  "" All Asian s are smart ! ""   Asia s Are Smart !  . All Asian Americans Are Intelligent !  10 - Asian American American is Smart ?  , I s it a stereotype that I ' m smart ?  11 - Asia American",123.0621789,8881483776,9210499072,329015296,116750336
beam_5,xlnet-base-cased,"Generate an appropriate subjective title for the following email: Hi [person name],

I'm writing to ask you if you are happy to be a panelist of our workshop on multimodality at CVPR. The workshop will be held on June 20, 2023. 

Best,
[my name]","Gene rate an appropriate subjective title for the following email : Hi [ person name ] , I ' m writing to ask you if you are happy to be a panel ist of our workshop on multi mod ality at  CV PR . The workshop will be held on June 20 , 20 23 . Best , [ my name ]   you would be interested to participate in the workshop at the next meeting of the board of directors .    "" Hi , my name ) , best , you ' re going to have a good time",148.7069359,8697765888,9122013184,424247296,116750336
beam_5,xlnet-base-cased,How do you answer this question in a job interview? What do you think about when you are alone in a car?,How do you answer this question in a job interview ? What do you think about when you are alone in a car ?   you know how you  se  en  a  cha  e  ee ee e ? How does you ask yourself how it  s me e - e to e . How is it all me,156.985395,9295044608,10280423424,985378816,116750336
beam_5,xlnet-base-cased,Brainstorm a list of possible New Year's resolutions. ,Brain storm a list of possible New Year ' s resolutions .   ) ) and brain brain storm to storm storm off of potential potential possible possible new potential new new exciting new creative new fresh new brand new NEW NEW new created new all new and new free new creating new,123.9586039,9120071680,9282027520,161955840,116750336
beam_5,xlnet-base-cased,"Explain the following idiom to me, and try to give me some examples. black sheep","Explain the following  idio m to me , and try to give me some examples . black sheep   in in and in out out in an in - in - in , in as out as in is in the out and out was in s in was out of in went in of out is out went",117.560643,9082880000,5613846528,-3469033472,116750336
beam_5,xlnet-base-cased,Generate a haiku using the following word: summer,Gene rate a  hai ku using the following word : summer   in here in this here this this all this else you you me me you or or you I me I or I I you your or me or your I my you my or my I your me my,93.06624031,9101832192,9114791936,12959744,116750336
beam_5,xlnet-base-cased,Recommend a movie for me to watch during the weekend and explain the reason. ,Re com men d a movie for me to watch during the weekend and explain the reason .   re Re Re Rev  i  (  ) )  - Re Rep re re Rep Re  e  re  dec  ate  d  m  s  t  r  l ,103.6456885,8803336192,8925093888,121757696,116750336
beam_20,xlnet-base-cased,"Is there anything I can eat for a breakfast that doesn't include eggs, yet includes protein, and has roughly 700-1000 calories? ","I s there anything I can eat for a breakfast that doesn ' t include eggs , yet includes protein , and has roughly 700 - 1000 calories ?   I  ( ( i ) ) , but does not include a minimum , so that it can be easier to get to a p . m . in a still - in - still - part s -",293.9460387,9236385792,10276196352,1039810560,116750336
beam_20,xlnet-base-cased,What is the relation between the given pairs? Night : Day :: Right : Left,What is the relation between the given pairs ? Night  : Day  : : Right  : Left   I what I am what is it what it is that is what was it that it was that was upon upon me what if it were that that which was in the name of the thing that I was,255.7417166,9144639488,9495248896,350609408,116750336
